Operation, Opt_ID, Threads, Queue Depth, Device Queue Depth, KIOPS , Bandwidth(MiBs), cpu_core_index, usr, nice, sys, iowait, irq, soft, steal, guest, gnice, cpu_usages
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,21,0.04,0.0,0.09,0.0,0.01,0.0,0.0,0.02,0.0,0.16
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,22,0.02,0.0,0.01,0.0,0.03,0.0,0.0,0.01,0.0,0.06999999999999999
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,23,0.01,0.0,1.48,0.0,0.24,0.0,0.0,0.02,0.0,1.75
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,24,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,26,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,28,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,30,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,31,0.01,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,32,0.01,0.0,4.82,0.0,0.91,0.0,0.0,0.0,0.0,5.74
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,33,0.04,0.0,0.21,0.0,0.04,0.0,0.0,0.0,0.0,0.29
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,34,0.0,0.0,6.89,0.0,1.29,0.01,0.0,0.0,0.0,8.19
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,35,0.01,0.0,2.45,0.0,0.46,0.0,0.0,0.0,0.0,2.92
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,36,0.02,0.0,0.09,0.0,0.02,0.01,0.0,0.0,0.0,0.14
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,38,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,39,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,40,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,44,0.01,0.0,3.91,0.0,0.78,0.01,0.0,0.0,0.0,4.71
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,45,0.01,0.0,6.14,0.0,1.22,0.0,0.0,0.0,0.0,7.369999999999999
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,46,0.01,0.0,14.26,0.0,2.82,0.01,0.0,0.0,0.0,17.1
